grasp_center: [-0.09520422 -0.48334838  1.27071578]
grasp_center: [ 0.05474833 -0.47692806  1.26936562]
grasp_center: [-0.05722583 -0.48172231  1.29083934]
grasp_center: [-0.08785622 -0.48303377  1.26722581]
grasp_center: [ 0.01144049 -0.47878232  1.27104317]
grasp_center: [ 0.04205411 -0.47747157  1.27674849]
grasp_center: [-0.04700039 -0.4812845   1.30410514]
grasp_center: [-0.00949933 -0.47967887  1.30778801]
grasp_center: [-0.05569806 -0.4816569   1.30142907]
grasp_center: [-0.05481045 -0.4816189   1.2894017 ]
grasp_center: [-0.0904234  -0.48314369  1.30014855]
grasp_center: [-0.05839564 -0.4817724   1.29253055]
grasp_center: [-0.04700445 -0.48128468  1.27098893]
grasp_center: [-0.00605147 -0.47953125  1.29333283]
grasp_center: [-0.08347331 -0.48284612  1.27000249]
grasp_center: [-0.00624338 -0.47953946  1.29765798]
grasp_center: [-0.01198894 -0.47978546  1.27899077]
grasp_center: [ 0.02285799 -0.47829347  1.30826892]
grasp_center: [-0.01702293 -0.480001    1.28742541]
grasp_center: [-0.01495591 -0.4799125   1.29975591]
grasp_center: [-0.0833839  -0.48284229  1.28166102]
grasp_center: [-0.02541314 -0.48036023  1.26762513]
grasp_center: [ 0.04815896 -0.47721019  1.28928917]
grasp_center: [-0.08060159 -0.48272316  1.27976157]
grasp_center: [ 0.03627687 -0.47771893  1.26919912]
grasp_center: [ 0.00771501 -0.47894183  1.27335177]
grasp_center: [-0.05658142 -0.48169472  1.30191401]
grasp_center: [ 0.01338329 -0.47869914  1.27742951]
grasp_center: [ 0.01087421 -0.47880656  1.2807133 ]
grasp_center: [-0.02657752 -0.48041008  1.29227823]
grasp_center: [-0.05478106 -0.48161764  1.27237003]
grasp_center: [ 8.82285636e-04 -4.79234374e-01  1.26729599e+00]
grasp_center: [ 0.0715672  -0.47620795  1.27473613]
grasp_center: [ 0.02722881 -0.47810633  1.27384998]
grasp_center: [ 0.00381149 -0.47910896  1.2994601 ]
grasp_center: [-0.03670041 -0.4808435   1.30438647]
grasp_center: [ 0.04539698 -0.47732845  1.27755292]
grasp_center: [ 0.04143244 -0.47749819  1.2945423 ]
grasp_center: [-0.03858402 -0.48092415  1.2952404 ]
grasp_center: [-0.01788998 -0.48003812  1.27267377]
grasp_center: [ 0.04183314 -0.47748104  1.28549682]
grasp_center: [-0.03710984 -0.48086103  1.29482445]
grasp_center: [-0.03817652 -0.4809067   1.27249785]
grasp_center: [ 0.02533527 -0.4781874   1.27304701]
grasp_center: [-0.05075125 -0.4814451   1.28062419]
grasp_center: [-0.0968032  -0.48341684  1.29049955]
grasp_center: [-0.09467811 -0.48332586  1.30750106]
grasp_center: [-0.00942161 -0.47967554  1.27911231]
grasp_center: [-0.05179814 -0.48148992  1.29058791]
grasp_center: [-0.0103468  -0.47971516  1.27236457]
grasp_center: [-0.06857461 -0.48220822  1.30048472]
grasp_center: [-0.02504489 -0.48034446  1.26708379]
grasp_center: [-0.10974076 -0.48397077  1.27715096]
grasp_center: [-0.00391327 -0.4794397   1.2818075 ]
grasp_center: [-3.29455857e-04 -4.79286256e-01  1.28307644e+00]
grasp_center: [ 0.05058282 -0.47710641  1.27007151]
grasp_center: [ 0.03908722 -0.4775986   1.27637795]
grasp_center: [-0.04782054 -0.48131962  1.29741652]
grasp_center: [-0.02865846 -0.48049918  1.28070743]
grasp_center: [ 0.04122037 -0.47750727  1.29798434]
grasp_center: [ 0.02301186 -0.47828688  1.27367486]
grasp_center: [ 6.15468659e-04 -4.79245798e-01  1.30096910e+00]
grasp_center: [ 0.07604208 -0.47601636  1.28572041]
grasp_center: [ 0.06414353 -0.4765258   1.27921913]
grasp_center: [ 0.01027168 -0.47883236  1.26844377]
grasp_center: [-0.04557654 -0.48122354  1.26996717]
grasp_center: [-0.06136508 -0.48189954  1.26932818]
grasp_center: [-0.04652417 -0.48126411  1.28079089]
grasp_center: [ 0.02579857 -0.47816757  1.27346977]
grasp_center: [-0.02487373 -0.48033714  1.28478938]
grasp_center: [ 0.01389278 -0.47867732  1.27144443]
grasp_center: [-0.01995668 -0.48012661  1.29046955]
grasp_center: [ 0.01329752 -0.47870281  1.27241135]
grasp_center: [ 0.02740173 -0.47809893  1.26708799]
grasp_center: [ 0.01533873 -0.47861541  1.27378799]
grasp_center: [ 2.49208439e-04 -4.79261480e-01  1.26769962e+00]
grasp_center: [ 0.01396958 -0.47867403  1.26803567]
grasp_center: [-0.0860248  -0.48295536  1.28433246]
grasp_center: [-0.0683113  -0.48219694  1.29459785]
grasp_center: [ 0.054386   -0.47694358  1.300854  ]
grasp_center: [-0.03609779 -0.4808177   1.27349355]
grasp_center: [ 0.06405957 -0.4765294   1.2982432 ]
grasp_center: [-0.02383648 -0.48029272  1.28928808]
grasp_center: [-0.00486714 -0.47948054  1.27973324]
grasp_center: [-0.01496586 -0.47991292  1.30475179]
grasp_center: [ 0.05469998 -0.47693013  1.276163  ]
grasp_center: [-0.01177342 -0.47977624  1.30319334]
grasp_center: [-0.010812   -0.47973507  1.27278073]
grasp_center: [-5.04853918e-04 -4.79293766e-01  1.26934093e+00]
grasp_center: [-0.09866646 -0.48349662  1.27683569]
grasp_center: [ 0.07384721 -0.47611033  1.29962729]
grasp_center: [-0.03168828 -0.4806289   1.28984605]
grasp_center: [-0.11537508 -0.48421201  1.30612037]
grasp_center: [ 0.05037699 -0.47711523  1.26948499]
grasp_center: [-0.07201014 -0.48235531  1.30633353]
grasp_center: [-0.02848993 -0.48049197  1.27659605]
grasp_center: [-0.02135136 -0.48018632  1.30374709]
grasp_center: [-0.01541053 -0.47993196  1.27106443]
grasp_center: [ 0.02021777 -0.47840651  1.27417967]
grasp_center: [-0.0595918  -0.48182361  1.28621448]
grasp_center: [ 0.03320056 -0.47785065  1.29972691]
grasp_center: [ 0.01974738 -0.47842665  1.29312357]
grasp_center: [ 0.0368827  -0.47769299  1.28649254]
grasp_center: [-0.00133279 -0.47932921  1.30633052]
grasp_center: [-0.07039939 -0.48228635  1.26858598]
grasp_center: [ 0.0225203  -0.47830793  1.27462057]
grasp_center: [-0.08609123 -0.4829582   1.27801856]
grasp_center: [ 0.04108418 -0.4775131   1.26713016]
grasp_center: [-7.08288326e-04 -4.79302476e-01  1.26976312e+00]
grasp_center: [-0.043403   -0.48113048  1.29978835]
grasp_center: [ 0.10492043 -0.47477991  1.296946  ]
grasp_center: [ 0.03322984 -0.47784939  1.27818903]
grasp_center: [ 0.01087966 -0.47880633  1.30433331]
grasp_center: [-0.0849383  -0.48290884  1.29135418]
grasp_center: [-0.06196849 -0.48192537  1.27485223]
grasp_center: [-0.0666019  -0.48212375  1.26923957]
grasp_center: [-0.0920494  -0.48321331  1.28182712]
grasp_center: [-0.02914855 -0.48052016  1.26708088]
grasp_center: [ 0.01466352 -0.47864432  1.26716895]
grasp_center: [-0.03452848 -0.48075051  1.27961255]
grasp_center: [-0.07269487 -0.48238463  1.27706719]
grasp_center: [-0.07249882 -0.48237624  1.29469754]
grasp_center: [-0.00496068 -0.47948454  1.27169751]
grasp_center: [-1.04167346e-03 -4.79316750e-01  1.27915235e+00]
grasp_center: [-0.05591322 -0.48166611  1.28063814]
grasp_center: [ 0.04260112 -0.47744815  1.27215394]
grasp_center: [-0.11928923 -0.4843796   1.27807575]
grasp_center: [ 0.06776192 -0.47637088  1.27761503]
grasp_center: [-0.07092366 -0.48230879  1.2732004 ]
grasp_center: [ 0.00663403 -0.47898811  1.30824038]
grasp_center: [-0.05430768 -0.48159737  1.27916199]
grasp_center: [-0.09224988 -0.48322189  1.29272443]
grasp_center: [ 0.02994737 -0.47798993  1.28833519]
grasp_center: [-0.11298413 -0.48410964  1.2703924 ]
grasp_center: [-0.10092481 -0.48359331  1.26998974]
grasp_center: [-0.00853188 -0.47963745  1.2902426 ]
grasp_center: [-0.04277642 -0.48110365  1.27710705]
grasp_center: [-0.02026435 -0.48013978  1.2926056 ]
grasp_center: [ 0.0370625  -0.47768529  1.26752929]
grasp_center: [-0.10796073 -0.48389456  1.2966309 ]
grasp_center: [-0.12267362 -0.4845245   1.30675378]
grasp_center: [-0.11013919 -0.48398783  1.27648733]
grasp_center: [-0.08573579 -0.48294299  1.29724985]
grasp_center: [-0.06271563 -0.48195736  1.27958148]
grasp_center: [ 0.00856678 -0.47890536  1.2670964 ]
grasp_center: [-0.07686783 -0.4825633   1.28331317]
grasp_center: [-0.08337415 -0.48284187  1.3068056 ]
grasp_center: [-0.06800145 -0.48218368  1.29058026]
grasp_center: [ 0.00700065 -0.47897241  1.29849492]
grasp_center: [-0.05597741 -0.48166886  1.27758858]
grasp_center: [ 0.05061037 -0.47710523  1.28765883]
grasp_center: [-0.04463705 -0.48118332  1.28424335]
grasp_center: [ 0.04376258 -0.47739843  1.26911854]
grasp_center: [-0.01582795 -0.47994983  1.27736278]
grasp_center: [-0.12202189 -0.4844966   1.30065303]
grasp_center: [-0.04780321 -0.48131888  1.2842898 ]
grasp_center: [-0.0558746  -0.48166446  1.28117256]
grasp_center: [-0.04996884 -0.4814116   1.26897552]
grasp_center: [ 0.00787567 -0.47893495  1.27937877]
grasp_center: [-0.0364596  -0.48083319  1.27084048]
grasp_center: [-0.10232133 -0.48365311  1.28365162]
grasp_center: [-0.04900267 -0.48137023  1.26779999]
grasp_center: [-0.05702403 -0.48171367  1.27001022]
grasp_center: [-0.0321617  -0.48064917  1.30267821]
grasp_center: [-0.0315331  -0.48062226  1.30733978]
grasp_center: [-0.03286517 -0.48067929  1.29517178]
grasp_center: [ 0.01656722 -0.47856281  1.26747856]
grasp_center: [-0.05093544 -0.48145299  1.27418292]
grasp_center: [-0.00196082 -0.4793561   1.26916   ]
